,coord_lon,coord_lat,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,wind_speed,wind_deg,clouds_all,sys_type,sys_id,sys_message,sys_country,sys_sunrise,sys_sunset,name
0,-40.5,-20.39,803.0,Clouds,broken clouds,04d,stations,297.61,1018.0,83.0,296.48,299.26,3.1,360.0,75.0,1.0,8474.0,0.0109,BR,1570177246.0,1570221638.0,Viana
1,-40.28,-6.0,803.0,Clouds,broken clouds,04d,stations,307.517,1008.07,25.0,307.517,307.517,3.62,127.566,63.0,,,0.0047,BR,1570177480.0,1570221298.0,Sao Joao dos Inhamuns
2,-35.54,-6.75,800.0,Clear,clear sky,01d,stations,301.417,1010.95,46.0,301.417,301.417,7.46,118.51,1.0,,,0.0073,BR,1570176329.0,1570220175.0,Solanea
3,-53.03,-29.41,500.0,Rain,light rain,10d,stations,297.617,1011.61,87.0,297.617,297.617,2.49,336.883,91.0,,,0.0071,BR,1570180037.0,1570224860.0,Sobradinho
4,-55.0,-10.0,803.0,Clouds,broken clouds,04d,stations,310.117,1007.24,26.0,310.117,310.117,1.8,96.652,60.0,,,0.0066,BR,1570180936.0,1570224906.0,Federative Republic of Brazil
5,-49.25,-28.57,500.0,Rain,light rain,10d,stations,293.017,1015.09,92.0,293.017,293.017,0.26,125.101,100.0,,,0.0059,BR,1570179152.0,1570223931.0,Rio da Areia
6,-51.0,-24.0,800.0,Clear,clear sky,01d,stations,307.717,1011.08,24.0,307.717,307.717,1.39,0.082,0.0,,,0.0073,BR,1570179683.0,1570224240.0,Estado do Parana
7,-49.06,-25.44,800.0,Clear,clear sky,01d,stations,300.02,1017.0,44.0,292.04,304.26,2.1,100.0,0.0,1.0,8346.0,0.0066,BR,1570179184.0,1570223808.0,Piraquara
8,-49.21,-25.39,800.0,Clear,clear sky,01d,stations,302.14,1017.0,44.0,300.15,304.26,2.1,100.0,0.0,1.0,8346.0,0.0062,BR,1570179221.0,1570223843.0,Atuba
9,-44.55,-20.06,800.0,Clear,clear sky,01d,stations,304.017,1012.93,27.0,304.017,304.017,1.87,44.155,6.0,,,0.0058,BR,1570178225.0,1570222603.0,Olaria
10,-49.0,-22.0,800.0,Clear,clear sky,01d,stations,308.15,1013.0,17.0,308.15,308.15,0.45,188.0,2.0,3.0,53165.0,0.0066,BR,1570179249.0,1570223714.0,Estado de São Paulo
11,-46.32,-23.4,800.0,Clear,clear sky,01d,stations,301.37,1016.0,37.0,298.15,304.15,2.6,210.0,0.0,1.0,8379.0,0.0101,BR,1570178575.0,1570223102.0,Arujá
12,-49.02,-20.13,802.0,Clouds,scattered clouds,03d,stations,310.217,1008.44,14.0,310.217,310.217,3.44,180.966,42.0,,,0.0065,BR,1570179295.0,1570223677.0,Pôrto do Sapé
13,-52.21,-3.2,803.0,Clouds,broken clouds,04d,stations,308.817,1007.94,36.0,308.817,308.817,2.13,84.321,62.0,,,0.0079,BR,1570180394.0,1570224110.0,Altamira
14,-43.62,-19.33,802.0,Clouds,scattered clouds,03d,stations,300.15,1017.0,36.0,300.15,300.15,2.6,80.0,40.0,1.0,8344.0,0.0062,BR,1570178017.0,1570222364.0,Cardeal Mota
15,-44.65,-4.57,803.0,Clouds,broken clouds,04d,stations,311.617,1008.78,32.0,311.617,311.617,0.94,27.468,67.0,,,0.0063,BR,1570178555.0,1570222320.0,Ôlho d’Água
16,,,,,,,,,,,,,,,,,,,,,,
17,-48.07,-16.02,803.0,Clouds,broken clouds,04d,stations,306.32,1015.0,22.0,306.15,306.48,3.6,110.0,75.0,1.0,8336.0,0.0087,BR,1570179154.0,1570223362.0,Gama
18,-47.98,-15.82,803.0,Clouds,broken clouds,04d,stations,306.33,1015.0,22.0,306.15,306.48,3.6,110.0,75.0,1.0,8336.0,0.0064,BR,1570179137.0,1570223337.0,Guará
19,-52.35,-14.67,803.0,Clouds,broken clouds,04d,stations,306.817,1007.51,31.0,306.817,306.817,2.36,303.468,78.0,,,0.0065,BR,1570180209.0,1570224362.0,Chavantina
20,-61.66,-3.74,804.0,Clouds,overcast clouds,04d,stations,309.117,1008.9,41.0,309.117,309.117,1.17,133.161,86.0,,,0.0069,BR,1570182651.0,1570226387.0,Anori
