,Música,Artista,Posição mais alta,Duração (em semanas)
1,Truth Hurts,Lizzo,1,21
2,Senorita,Shawn Mendes & Camila Cabello,1,14
3,Someone You Loved,Lewis Capaldi,3,20
4,Ran$om,Lil Tecca,4,17
5,No Guidance,Chris Brown Featuring Drake,5,16
6,Panini,Lil Nas X,5,14
7,Bad Guy,Billie Eilish,1,26
8,Circles,Post Malone,4,4
9,Goodbyes,Post Malone Featuring Young Thug,3,12
10,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,30
11,I Don't Care,Ed Sheeran & Justin Bieber,2,20
12,Talk,Khalid,3,33
13,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,49
14,Sucker,Jonas Brothers,1,30
15,Beautiful People,Ed Sheeran Featuring Khalid,15,13
16,Money In The Grave,Drake Featuring Rick Ross,7,15
17,INTRO,DaBaby,17,1
18,Suge,DaBaby,7,26
19,Boyfriend,Ariana Grande & Social House,8,8
20,Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",11,7
21,Baby,Lil Baby & DaBaby,21,10
22,Memories,Maroon 5,22,1
23,You Need To Calm Down,Taylor Swift,2,15
24,My Type,Saweetie,21,13
25,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,8,3
26,How Do You Sleep?,Sam Smith,26,10
27,Dancing With A Stranger,Sam Smith & Normani,7,37
28,Only Human,Jonas Brothers,28,15
29,On Chill,Wale Featuring Jeremih,29,7
30,The Git Up,Blanco Brown,14,16
31,If I Can't Have You,Shawn Mendes,2,21
32,Trampoline,SHAED,32,17
33,Wow.,Post Malone,2,40
34,Without Me,Halsey,1,51
35,Hot,Young Thug Featuring Gunna,26,6
36,Enemies,Post Malone Featuring DaBaby,16,3
37,Camelot,NLE Choppa,37,2
38,223's,YNW Melly & 9lokknine,38,3
39,I Don't Know About You,Chris Lane,39,12
40,The London,"Young Thug, J. Cole & Travis Scott",12,18
41,Cash Shit,Megan Thee Stallion Featuring DaBaby,36,14
42,Pop Out,Polo G Featuring Lil Tjay,11,27
43,Good As Hell,Lizzo,41,5
44,Lover,Taylor Swift,10,6
45,Beer Never Broke My Heart,Luke Combs,21,21
46,Speechless,Dan + Shay,24,40
47,One Thing Right,Marshmello & Kane Brown,42,14
48,Saint-Tropez,Post Malone,18,3
49,Time,NF,49,10
50,Knockin' Boots,Luke Bryan,31,22
51,Living,Dierks Bentley,51,9
52,Don't Call Me Angel (Charlie's Angels),"Ariana Grande, Miley Cyrus & Lana Del Rey",13,2
53,Hollywood's Bleeding,Post Malone,15,3
54,Prayed For You,Matt Stell,54,8
55,Liar,Camila Cabello,54,3
56,Ballin',Mustard Featuring Roddy Ricch,55,10
57,Heat,Chris Brown Featuring Gunna,57,4
58,Even Though I'm Leaving,Luke Combs,58,4
59,Die For Me,Post Malone Featuring Future & Halsey,20,3
60,Graveyard,Halsey,45,2
61,Motivation,Normani,33,6
62,China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",43,10
63,On The Road,Post Malone Featuring Meek Mill & Lil Baby,22,3
64,One Man Band,Old Dominion,64,5
65,Love You Too Late,Cole Swindell,65,8
66,Southbound,Carrie Underwood,65,11
67,Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",34,16
68,Good Vibes,Chris Janson,68,4
69,Lalala,Y2K & bbno$,55,13
70,Callaita,Bad Bunny & Tainy,52,16
71,Baby Sitter,DaBaby Featuring Offset,71,7
72,The Ones That Didn't Make It Back Home,Justin Moore,46,15
73,Bad Bad Bad,Young Thug Featuring Lil Baby,32,6
74,Playing Games,Summer Walker,74,4
75,Every Little Thing,Russell Dickerson,75,4
76,Tip Of My Tongue,Kenny Chesney,76,11
77,Right Back,Khalid Featuring A Boogie Wit da Hoodie,73,9
78,No Me Conoce,"Jhay Cortez, J Balvin & Bad Bunny",71,12
79,Hot Girl Bummer,blackbear,79,2
80,Self Control,YoungBoy Never Broke Again,68,3
81,What Happens In A Small Town,Brantley Gilbert + Lindsay Ell,81,7
82,F.N,Lil Tjay,68,7
83,Behind Barz,Drake,75,2
84,Did It Again,Lil Tecca,64,6
85,Remember You Young,Thomas Rhett,85,2
86,Adicto,"Tainy, Anuel AA & Ozuna",86,1
87,Hate Me,Ellie Goulding & Juice WRLD,72,10
88,A Thousand Bad Times,Post Malone,29,3
89,What If I Never Get Over You,Lady Antebellum,86,6
90,Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage,19,11
91,We Were,Keith Urban,80,6
92,Higher Love,Kygo X Whitney Houston,63,3
93,Stuck In A Dream,Lil Mosey x Gunna,93,1
94,It's You,Ali Gatie,70,15
95,Slide Away,Miley Cyrus,47,6
96,Loco Contigo,"DJ Snake, J. Balvin & Tyga",96,1
97,Shameless,Camila Cabello,60,3
98,Queen Of Mean,Sarah Jeffery,49,8
99,Rearview Town,Jason Aldean,40,18
100,The Bones,Maren Morris,96,2
